characters,text,cAGR,cCON,cEXT,cOPN,cNEU
Rachel,"Rachel: What's that song? It has been in my head all day long. Rachel: Y'know who doesn't even like dirty movies? My new boyfriend Joshua. Rachel: No, he told me. He prefers to leave certain things to the imagination. Rachel: Yes! Rachel: I'm going to find out if he really thinks supermodels are too skinny. (As she exits, Phoebe enters.) Hey, Pheebs! ",2.0,2.0,3.0,3.0,1.0
Ross,"Ross: Hi, I'm selling Brown Bird cookies. Ross: No, hi, I'm, I'm an honorary Brown Bird (does the Brown Bird salute.) Ross: Ah, well, it means that I can sell cookies, but I'm not invited to sleep-overs. ",0.0,1.0,3.0,2.0,1.0
Chandler,"Chandler: (entering, carrying a briefcase) Hi. Chandler: Y'know, I forgot the combination to this about a year ago? I just carry it around. Do you have any Chap Stick? Chandler: Y'know what, pretty good. Chandler: Good! I haven't smoked yet today, I feel great, and-and-and confident, that is a stunning blouse. Chandler: Thanks Chandler: What check thing? Chandler: (reading the check) Pete Becker. Pete... (quickly grabs a magazine and opens it up to show her a picture) (pointing to the picture) Is this him? Chandler: Who's he huggin'? Chandler: This guy invented Moss 865! Every office in the world uses that program! Chandler: There you go!! ",1.0,0.0,2.0,1.0,2.0
Joey,"Joey: If anything should happen to him... Joey: So! Things can go wrong! You don't know! What if he doesn't make it?! Joey: Yeah, but what if he doesn't? He's such a good duck. Joey: I'm so worried about him, y'know? Joey: H-h-h-how's the duck? Joey: Ohh, great! Oh hey, listen Ross, thanks for being so cool about this. Joey: No, it's not. I mean you-you made me your best man and I totally let you down! Joey: Yeah, it is! You wouldn't have lost the ring, right? Y'know what, Ross you were right from the start, he (Chandler) should be your best man. Joey: Now, don't argue with me... Joey: Really? ",0.0,1.0,0.0,2.0,2.0
Susan,"Susan: Hey, it's so nice to finally meet you! Susan: Oh yeah, I'm so excited, I've never been there. Susan: That would be great! Also, uh, I was hoping to catch a show so if you can make any suggestions... ",1.0,1.0,2.0,2.0,0.0
Monica,"Monica: Hello. Monica: Oh my God! Ross, are you in England? Was Emily surprised? Monica: All right. When is, when is the next flight out? ",1.0,0.0,3.0,1.0,-1.0
Monica Geller,"Monica Geller: Ross. Monica Geller: Look. [they look at Joey in the kitchen with a cigar in his mouth, looking at his reflection in a spatula] Joey, do you know we can see you from here? Monica Geller: You know what, I think it's cute, you trying to be more like Richard. Monica Geller: So Joey, why didn't you grow a moustache? Monica Geller: You're meeting Richard? ",1.0,0.0,1.0,1.0,-1.0
Chandler Bing,"Chandler Bing: Nothing, just your overcoat sounds remarkably like Brent Mussberger. Chandler Bing: You're watching a football game at a funeral? Chandler Bing: You are a frightening, frightening man. ",1.0,2.0,1.0,0.0,-1.0
Chandler,"Chandler: Oh, I'm taking my ex-girlfriend of my speed dialer. Chandler: No-no-no-no, no, it's a good thing. Why must we dial so speedily anyway? Why must we rush through life? Why can't we savor the precious moments? (to one of Joey's sisters) Those are some huge breasts you have. ",2.0,-1.0,2.0,0.0,2.0
Monica,"Monica: And that's why, I'm not inviting you in for a drink. (starts to leave) Bye. ",-1.0,2.0,2.0,0.0,1.0
Joey Tribbiani,"Joey Tribbiani: Marcel? Joey Tribbiani: Marcel? Joey Tribbiani: A monkey. Joey Tribbiani: Um, sure! Did you, uh, did you try turning the knob back the other way? Joey Tribbiani: Oh. Then, no. Joey Tribbiani: Uh, aren't we kind of in the middle of something here? Joey Tribbiani: We can't, alright? (To the women) We're sorry. You have no idea how sorry, but... We promised we'd find this monkey. If you see him, he's about yea high and answers to the name Marcel, so if we could get some pictures of you, you'd really be helping us out. Joey Tribbiani: Marcel? ",1.0,0.0,2.0,0.0,1.0
Joey,"Joey: (entering) Where's my underwear?! Joey: Because, I'm not wearing any underwear now. Joey: It's a rented tux. Okay. I'm not gonna go commando in another man's fatigues. Joey: Okay, you hide my clothes. I'm gonna do the exact opposite to you. Joey: Hey, opposite, is opposite! (leaves) ",-2.0,0.0,3.0,1.0,0.0
Ross Geller,"Ross Geller: Look at it this way: you dumped her. Right? I mean, this woman was unbelievably sexy, and beautiful, intelligent, unattainable... Tell me why you did this again? Ross Geller: No? What happened, big guy? Ross Geller: It felt like a 'big guy' moment. ",3.0,2.0,2.0,2.0,2.0
Ross Geller,"Ross Geller: The word you're looking for is 'Anyway'... Ross Geller: Come on, you made coffee!                You can do anything! (Chandler slowly tries to hide the now dead plant from that morning when he and Joey poured their coffee into it.) Ross Geller: C'mon, cut. Cut, cut, cut,... ",0.0,3.0,1.0,0.0,3.0
Chandler Bing,"Chandler Bing: We'll watch him. Chandler Bing: I was looking forward to playing basketball, but I guess that's out the window. ",0.0,0.0,0.0,0.0,1.0
Chandler,"Chandler: All right buddy, way to go! (smacks him on the butt) Chandler: Thank you! Today, my boss keep slapping my butt and he was acting like it was no big deal. Chandler: Well, I didn't do anything. I didn't want to be the guy who has a problem with his boss slapping his bottom. Chandler: Yeah, I know, for a really great stew you just y'know, stick your head in between 'em. ",3.0,0.0,3.0,2.0,1.0
Monica,"Monica: I called him. Monica: Yes. Well I got his machine and I left a message. But it's okay, it's okay, it's okay, because you know it was like a casual, breezy message. It was breezy! Oh God, what if it wasn't breezy? Monica: Here, I got it. I'll will play my message for you guys, and you can tell me if it's breezy enough. Monica: I know the code to his answering machine. ",1.0,2.0,3.0,0.0,1.0
Chandler,"Chandler: Hi! Listen, can we watch cartoons on your television? We need a porn break. We spent the last two hours watching In & Out & In, Again. Chandler: Because then we would be the guys who turned off free porn. ",1.0,-1.0,1.0,1.0,-1.0
Chandler,"Chandler: Well I've-I've never done that with you before. Chandler: So, ahh, how are ya? How ya...How ya... You okay? ",0.0,-1.0,0.0,1.0,0.0
Phoebe,"Phoebe: It's just y'know, been a couple of hours, and she hasn't called. Not that I even care, y'know. Phoebe: You think you know me so well. ",-1.0,2.0,2.0,2.0,0.0
Phoebe,"Phoebe: Oh my God, they took my idea! ",2.0,-1.0,3.0,2.0,-1.0
Ross Geller,"Ross Geller: (on phone) Ok, ok, sweetheart, I'll see you later. Ok, bye. What? (Sits down next to Rachel) Oh, that is so sweet. No, no, ok, you hang up. Ok, ok, one, two, three. (Doesn't hang up and motions for Rachel to be quiet) Well you didn't hang up either. Ross Geller: Ok, no, no, you hang up. You, you, y... Ross Geller: Rachel! I'll just call her back. ",3.0,0.0,3.0,2.0,3.0
Monica,"Monica: (to Rachel and Phoebe) Y'know, there's a Starbucks about three blocks down. Monica: (to Phoebe) Hey, aren't you up next? Monica: Phoebe, Ross sucks! ",-1.0,1.0,2.0,1.0,2.0
Phoebe Buffay,"Phoebe Buffay: Chandler, you called Janice! That's how much you wanted to be with someone! Phoebe Buffay: You're there! ",2.0,1.0,2.0,-1.0,0.0
Ross,"Ross: I'm hurt! I'm actually hurt, that you would think that I would send you any of those things out of any thing other than love. Hurt! Hurt! Ross: I mean my God... ",0.0,1.0,1.0,0.0,1.0
Janice,"Janice: Janice has a question. Who of the six of you has sleep with the six of you? Janice: Come on over the years none of you ever y'know, got drunk and stupid. Janice: I'm sorry I find it hard to believe that a group of people who spends as much time together as you guys do has never bumped uglies. ",0.0,-1.0,2.0,0.0,0.0
Monica,"Monica: Oh, is everything in the car? Monica: No. I hate this part. Monica: No, that's not mine. Monica: Excuse me, Mrs. Burkart? Well, we're all cleaned up in the kitchen. ",2.0,2.0,0.0,1.0,1.0
Nina Bookbinder,"Nina Bookbinder: Do you have a sec? Nina Bookbinder: I dont know. For the past couple days, people have been avoiding me and giving me these really strange looks. Nina Bookbinder: Maybe. But that doesnt explain why they keep taking my scissors. Nina Bookbinder: I am? ",0.0,0.0,0.0,-1.0,-2.0
Joey,Joey: Yeah? ,2.0,2.0,1.0,0.0,2.0
Phoebe Buffay,"Phoebe Buffay: Oh, honey, honey, tell them the story about your patient who thinks things are, like, other things. Y'know? Like, the phone rings and she takes a shower. Phoebe Buffay: Oops! Phoebe Buffay: Thanks. Okay, now go away so we can talk about you. Phoebe Buffay: Isn't he great? Phoebe Buffay: I know, I know. So sweet... and so complicated. And for a shrink, he's not too shrinky, y'know? Phoebe Buffay: Oh, I don't know, I don't know. I think that's a little weird, y'know? Vinyl. ",2.0,1.0,1.0,-1.0,0.0
Ross,"Ross: Uh, yeah, I ah, I also need two. Ross: Uh, no, it's-it's just this person. Ross: Yeah, kinda. It's this woman from work. I hope that won't be too weird. Will it, Rach? Ross: All right, I'll see you tonight. ",0.0,0.0,1.0,2.0,1.0
Monica,"Monica: (entering) Ohh, here you are. Y'know, I'm-I'm glad you decided to hear me out. Monica: I've been doing a lot of thinking. A lot! And umm, well, I came up with a whole bunch of businesses you can do with your van. Okay umm, you could be flower delivery person. Monica: Or! A bakery delivery person. Monica: Pizza?! Monica: All right, I've got a whole bunch of uh-uh, stuff in this area, but umm, I'm getting the feeling that you don't want to deliver. Monica: Okay. I'm guessing that if you don't want to deliver, you probably don't want to pick stuff up either. Monica: Y'know what, let's do the catering business. Monica: Yeah, y'know I-I made a commitment to you. Y'know what, it'd be, it'd be fun. ",0.0,1.0,2.0,1.0,3.0
Monica,"Monica: Please tell me you're stopping now. Monica: You are insane! You-you gotta give this up! Monica: Sit down. All right? Please, just listen to me. You are terrible at this! Okay? You are the worst ultimate fighter ever! Ever!! Monica: Well then, y'know what? I care about you to much to watch you hurt yourself like this. So if you have to do this, then you're gonna have to do it without me. ",-2.0,2.0,-1.0,-1.0,1.0
Cheryl,Cheryl: So you want to come inside? Cheryl: I'll be right back. Make yourself comfortable. (Ross attempts to clear a place for his coat and fold it small enough to fit. Then hit sits on the couch. Something falls on him from above and he brushes his neck off frantically.) Cheryl: (sneaking up behind Ross) Guess who? Cheryl: It's me! Cheryl: What? ,2.0,1.0,2.0,3.0,1.0
Chandler,Chandler: (entering) Hey! Chandler: Hey-hey-hey. So what happened? A forest tick you off? Chandler: Yeah! ,2.0,1.0,2.0,1.0,1.0
Phoebe,"Phoebe: (turns around) Um, that's it. No. Hey! You! J. Crew guy. Yeah. Why have you been following me? I mean, all week long everywhere I look there's you. Phoebe: What? Phoebe: Oooh. Oh, well this is awkward. Phoebe: Um, yeah, you want Ursula, and I'm Phoebe. Twin sisters! Seriously. Phoebe: Oh, you're not a dingus. Phoebe: Well, I mean look it's, it's not your fault, you know. I mean this is just what, what she does to guys, okay. Phoebe: Wait, (grabs him) you know what, I got a little story. When I was in Junior High School I went through this period where I thought I was a witch. And there was this guidance counselor who said something to me, that I think will help you a lot. He said okay, 'you're not a witch you're just an average student.' See what I'm saying? Phoebe: Um, well, get over it. So, I mean you, you just seem to be a really nice guy, you know. Don't be so hard on yourself okay. ",0.0,1.0,0.0,-1.0,0.0
Phoebe,"Phoebe: Maybe we can like go to a movie or something. Phoebe: Or, or the rodeo!! ",3.0,2.0,3.0,3.0,1.0
Ross,"Ross: (entering, wearing a white suit with a little red bow tie) Hey, you guys! Guess what? Ross: Y'know what I didn't wear this suit for a year because you hated it. Well, guess what? You're not my girlfriend anymore so... Ross: Right. Ross: (to Monica) You like it right? ",3.0,1.0,3.0,-2.0,-1.0
Joey Tribbiani,"Joey Tribbiani: Tampa Bay's got a terrible team. Joey Tribbiani: He should take the sack? Joey Tribbiani: Yeah, Ross. You and the baby just need better blocking. Joey Tribbiani: Oh, have either one of you guys ever been to the Rainbow Room? Is it real expensive? Joey Tribbiani: I'm takin' Ursula tonight. It's her birthday. Joey Tribbiani: When's that? Joey Tribbiani: Oh, man. What're the odds of that happening? ",2.0,-1.0,3.0,2.0,2.0
Chandler,"Chandler: So, I finally catch up to her and she says this relationship is going to fast and we have to slow down. Chandler: Then I got all needy and clingy. Chandler: She said she'd call me. Chandler: Oh God. Chandler: This ice cream tastes like crap by the way. Chandler: So, you don't think I'm terminal? Chandler: Okay, okay. So, should I call her? ",1.0,1.0,1.0,0.0,-1.0
Chandler,"Chandler: We don't, really. ",0.0,1.0,0.0,3.0,2.0
Chandler Bing,"Chandler Bing: I can't believe it. Chandler Bing: Oh, you're right I, I should play in the hay. Forget about the fact that I just dropped 400 dollars to replace a bracelet that I hated to begin with. Bring on the hay. [sits down at the bar] Chandler Bing: What am I gonna do, huh? [Joey walks in behind him] Chandler Bing: Hey. ",-3.0,-1.0,-1.0,0.0,-3.0
Rachel Green,"Rachel Green: Oh, okay. Will you take my place? ",1.0,2.0,0.0,1.0,1.0
Joey,"Joey: What's goin' on? Joey: What?! How could you do that, how could you think she was Mary-Angela? Joey: Well, that is usually what I would do. But I just never thought you'd be on the receiving end of it. How could you do this?! Joey: No! No! No! No, I'm not going to punch Chandler. Joey: No you won't. Look he knows he did a terrible thing and I believe him, he's sorry. But, (to Chandler) you've got one more apology to make, all right, you've got to apologize to Mary-Angela. ",3.0,0.0,3.0,1.0,2.0
Richard,"Richard: He's gonna go up to the counter with Citizen Kane, Vertigo, and Clockwork Orgy. (they both laugh) This is nice. Richard: I missed this. ",2.0,0.0,3.0,0.0,1.0
Phoebe Buffay,"Phoebe Buffay: Alright, whadyou do with him? Phoebe Buffay: Look at you! How, how do you feel? Phoebe Buffay: I'm Phoebe Buffay. Phoebe Buffay: Well, we both have. Phoebe Buffay: Well, actually it's just from me. Phoebe Buffay: You know who shaved you? That was me. Phoebe Buffay: I sang. (To Monica) Hah! Phoebe Buffay: You're welcome. Phoebe Buffay: What, that's it? ",1.0,0.0,2.0,3.0,1.0
Rachel,"Rachel: (entering) Hey! Rachel: So-Hey, Pheebs! So, how are the elves? Rachel: Yeah, my mom got my dad's season tickets in the divorce, so she just gave them to me. Rachel: Yeah. Rachel: Do you guys want these? Rachel: Ohh, well you got 'em. Rachel: Just give us our apartment back! Rachel: Oh, come on! We know what these are worth. ",3.0,2.0,2.0,1.0,2.0
Ross Geller,"Ross Geller: (Still annoyed) Yeah, we'll just use our special cake tools. ",1.0,0.0,1.0,-1.0,2.0
Chandler,Chandler: (singing) I'll hold you close in my arms. (Phoebe enters) I can't resist your charms. And love.... Chandler: (high pitched) No you know I don't mind. ,2.0,2.0,2.0,3.0,2.0
Phoebe Buffay,"Phoebe Buffay: (as though Rachel wasn't paying attention) Yummy noises. Phoebe Buffay: Ooh! I know what you could make! (runs over to join Monica and Rachel in the kitchen) I know! Oh, you should definitely make that thing... you know, with the stuff? (Monica doesn't know.) You know, that thing... with the stuff...? OK, I don't know. (sits down) Phoebe Buffay: Oh, is this the bug lady? ",0.0,0.0,2.0,1.0,-1.0
Phoebe,"Phoebe: (singing) Happy, happy Chanukah, Chandler and Monica. Very merry... Phoebe: What? Phoebe: So! Ross doesn't really decorate his tree with floss, but you don't hear him complaining do you? God! (Phoebe hits her guitar which wakes up Ross with a start.) Phoebe: So, did you pick one yet? ",-1.0,-1.0,2.0,0.0,0.0
Rob,Rob: Hi. I'm Rob Dohnen. ,3.0,2.0,1.0,1.0,0.0
Phoebe,"Phoebe: Definitely. Phoebe: I'll get it, okay. (answers phone) Hi, Monica and Rachel's. (listens) Yeah, just a second, can I ask who's calling. (to Monica) Oh, ew, it's Michelle! Ew! She, she must have that Caller Id thing. You should get that. ",-1.0,-1.0,0.0,-1.0,-1.0
Joanna,"Joanna: (on speaker phone) I'm really sorry but I may be a little while longer. Joanna: A couple of hours, I feel awful. Joanna: I can't!! Joanna: I'm in my boss's car! Joanna: Uh-oh, tunnel. (The phone gets cut off) ",-2.0,-1.0,-1.0,0.0,-1.0
Phoebe,"Phoebe: Yeah? Phoebe: Yeah, it's in the guys' apartment under the sink. Why? Phoebe: What?! What do you mean you're going to London? Phoebe: But what about all the ""finding-his-flaws"" stuff we've been doing? Phoebe: I-Rachel, you can't go! Ross loves Emily! ",0.0,3.0,2.0,0.0,3.0
Phoebe,"Phoebe: (entering) Hey!! Phoebe: Guess what. Frank Jr., and Alice got married! Phoebe: And! And, they're gonna have a baby! (The gang is shocked.) And! And, they want me to grow it for them in my uterus. (The gang is stunned into silence.) Phoebe: Yeah Phoebe: Ewww! And ""Oh no!"" It's-they just want me to be the surrogate. It's her-it's her egg and her sperm, and I'm-I'm just the oven, it's totally their bun. Phoebe: Well, they said that I had to think about it first, but what is there to think about? I'm gonna be giving them the greatest gift you can possibly give. Phoebe: I know! Phoebe: Yeah, what's your point? Phoebe: Y'know you guys were a lot more supportive when I wanted to make denim furniture. ",3.0,2.0,2.0,3.0,1.0
Monica,"Monica: Hi, again. Monica: Thank you soo, much. Monica: You want some help with that? Monica: Whoa! Are you okay? Monica: It's the heat. (has her hand on his chest, and then pulls it away) And-and the humidity. Monica: Do you wanna come in for some lemonade? ",1.0,1.0,3.0,1.0,0.0
Ross,"Ross: (entering) Hi. Ross: (sits down next to her) I'm sorry, I was an idiot. Ross: A big idiot. Just you have to realize is, this whole Mark thing is kinda hard for me. Ross: Well, I was with Carol for like eight years and I lost her. And now if it's possible I think I love you even more. So, it's hard for me to believe that I'm not gonna, well that someone else is not going to take you away. Ross: I gotta get going. Bye Chandler. Ross: Oh, I've got to go pick up Ben, we've got a play date this afternoon. Ross: Oh, just this woman that I met last night at the party. Ross: Yeah. Ross: Ah, yeah, yeah. Umm, we started talking after she y'know, did her thing. And it turns out she's got a boy about Ben's age, so we're taking them to a gym-boree class. Why, is that okay? Ross: Ahh, no. Ross: Are you jealous? Ross: You are totally jealous. Ross: Honey, I love you too. ",1.0,2.0,1.0,1.0,2.0
Rachel,"Rachel: Would you like to go to a basketball game with me? (Tries again.) You know, its funny, basketball, because I happen to have tickets too... (Tries again.) Umm, who likes the Knicks-(Joshua comes in from the dressing room.) Rachel: Oh! Well, as a single woman, who is available, I think you look great! Rachel: Yep. Oh, yeah, look you great. (She puts her arm in his and checks how they would look as a couple.) Oh yeah. Yeah, this looks great. (Pause) Umm, so you like it? Rachel: Great. Rachel: Sure. Rachel: Yeah-eah-ha! Rachel: Oh well, you don't want to do that now?! Rachel: Okay. Rachel: Basketball! Rachel: I uh, I have two tickets to the Knicks game tonight if you're interested, just as a thank you for this week. ",3.0,1.0,2.0,1.0,1.0
Ross,,2.0,1.0,1.0,1.0,1.0
Phoebe Buffay,"Phoebe Buffay: (seeing Rachel's clothes) What a neat idea. All your clothes match. I'm gonna do this. Phoebe Buffay: Hey, how'd it go? ",1.0,-1.0,2.0,1.0,-1.0
Rachel Green,"Rachel Green: What's up? Rachel Green: What? Rachel Green: OK, OK. I'm with you, Cheech. OK. Rachel Green: Let me, let me get you some wine! ",0.0,0.0,3.0,0.0,0.0
Ross,"Ross: And that's funny, why? Ross: Or! Or, we could go to the bank, close our accounts and cut them off at the source. ",0.0,-1.0,2.0,0.0,-2.0
Rachel,"Rachel: Hi honey! Rachel: Oh, he's just goofing around. Rachel: Oh honey, this is his office too. I told you we're Joanna's two assistants. Rachel: Oh! Oh my God! What did I just do? ",1.0,2.0,2.0,2.0,-1.0
Chandler Bing,"Chandler Bing: (looking fearfully at Joey) Hey, he's not crying. (Ben starts crying) Chandler Bing: You, you are gonna love this. Chandler Bing: Stay back, I've got kiwi. Run, Joey, Run! ",3.0,1.0,3.0,3.0,1.0
Rachel,"Rachel: Hey! Rachel: Well, we were walking down the street and we saw that van that you guys used for catering and we realised... Rachel: Okay. Rachel: (interrupting) Relaxi-Taxi! Rachel: Well, well I can up with it! Rachel: Well, I... ",-1.0,1.0,3.0,3.0,3.0
Chandler,"Chandler: Yes!! Chandler: Well, you don't you have Captain Hook explain it to her. Chandler: You hear that! That is her chose, mister I'll let you have her! I win! You suck! I rule all! A mini-wave in celebration of me!! (does the wave.) Chandler: Wh-what? Chandler: Y'know what, it doesn't matter, 'cause she picked me. Me! From now on I get the dates and you have to stay home on Saturday nights watching Ready, Set, Cook! Chandler: We're not gonna lose to girls. ",1.0,0.0,2.0,1.0,0.0
Chandler,"Chandler: It just doesn't...feel like we're breaking up. Chandler: Okay. Chandler: Thanks. Chandler: Okay. (Starts to button up his shirt) Chandler: I'm getting dressed. Chandler: When I walk outside naked people throw garbage at me. Chandler: What is it? Chandler: Ah-ha, you're not the boss of me. (She kisses him) Yeah, you are! (She handcuffs him to the chair) Ooh, saucy. Chandler: You are, you're gonna leave me like this? Chandler: Okay. But if you don't come back soon, (She leaves and closes the door) there's pretty much nothing I can do about it! ",3.0,1.0,1.0,2.0,1.0
Joey,"Joey: (entering, happily) Hey! Joey: Yeah! I stayed at Kate's, but ah, nothing happened. Hey, Pheebs, where were ya? Joey: Oh, it was great! Yeah, I-I walked her home, and it was amazing how much we connected, y'know? Then ah, then she passed out, but then she woke up. Yeah? And we stayed up all night talking, and now we're like totally crazy about each other! Joey: What? Joey: You-you think? ",-1.0,-1.0,0.0,0.0,-1.0
Monica,"Monica: (still hiding under the blankets) So um, who was she? Monica: (still hiding under the blankets) Did you like her? And I'm just asking as a friend, because I am totally fine with this. Monica: (gets up) Okay, y'know what, I'm not fine, I'm not. I mean how can I be fine, hearing you come in with her, she wants to see your bedroom.... (pause) Y'know what, what if we're friends who don't see other people? Monica: Why not?! I mean this has been the most amazing week. Would it be so terrible? Even if we were friends who lived together. Or, maybe someday friends who stood up in front of their other friends, and vowed to be friends forever. Monica: That's not true, you don't have a moustache. ",1.0,0.0,1.0,1.0,-1.0
Monica Geller,"Monica Geller: Hey. Monica Geller: A mirror? Monica Geller: Wow, for a guy who's recently lost his job, you're in an awfully good mood. Monica Geller: Cache? Jaunty? Monica Geller: Hey. Monica Geller: Oh my God, it was incredible. Monica Geller: Rachel you have to read this book. It's called Be Your Own Windkeeper. It's about how women need to become more empowered. ",1.0,3.0,2.0,2.0,1.0
Chandler Bing,"Chandler Bing: Okay, I'm gonna go to the bathroom. Will you watch my phone? Chandler Bing: Hey, we haven't been on a second date, she needs to hear me pee? ",-2.0,3.0,1.0,3.0,0.0
Janice,"Janice: (entering and singing) Monica and Rachel had syrup, now I can get my man to cheer up. (laughs hysterically) Good morning Joey. Janice: Oh, I wish. Look, honey, you have that report to finish, and I gotta go see my lawyer. Janice: (laughs) I-I-I gotta go, I gotta go. Okay, not without a kiss. Janice: I'll see you later, sweetie. Bye Joey. ",2.0,-1.0,3.0,2.0,2.0
Rachel,"Rachel: Thank you. Rachel: Hi! All right, let's go shoppin'!! ",1.0,0.0,1.0,1.0,0.0
Ross Geller,Ross Geller: ...What shoe? Ross Geller: ...So I think Alan will become the yardstick against which all future boyfriends will be measured. ,1.0,1.0,-1.0,0.0,2.0
Rachel Green,"Rachel Green: Bye-bye Julie. [Julie leaves] [Rachel is still cleaning, Ross is laying on the couch. Ross kicks Rachel in the butt.] Rachel Green: Hey. Rachel Green: Hey, c'mon, cut it out. Rachel Green: What? Rachel Green: Sure. Rachel Green: What? C'mon, talk to me. Rachel Green: Why? Who's not having. . . Are you and Julie not, are, are you and, are you and Julie not having sex? Rachel Green: Wow. Is it, is it 'cause she's so cold in bed. Or, or is it 'cause she's like, kinda bossy, makes it feel like school? Rachel Green: No, no no no, don't need to know the details. Rachel Green: No, no, no, no I don't think it's weird, I think, I think umm, in fact, in fact you know what I think? Rachel Green: I think it's sexy. Rachel Green: Let me tell you something. As a woman there is nothing sexier than a man who does not want to have sex. Rachel Green: Oh yeah. In fact you know what I'd do? Rachel Green: I'd wait. ",3.0,1.0,2.0,1.0,0.0
Rachel,"Rachel: Oh, could somebody give me a hand with this zipper? Rachel: Up! Rachel: Yeah, I did. I needed my lucky dress. Rachel: Ohh, God! Look at him, he's so cute. I wanna go over there, grab him, and kiss him! How can I kiss him and not letting him know that I like him? Rachel: What? ",0.0,0.0,3.0,0.0,1.0
Monica,"Monica: I need more swordfish. (to one of the assistant chefs) Can you get me some more swordfish? Monica: You did a minute ago! Monica: Fine! Monica: Okay! Very funny! Somebody let me out please?! Come on, I'm cold! (She spills something.) And covered in marinara sauce! Come on! Let me out! (the door opens) Monica: That's not funny. Monica: (starting to cry) I'm a good person. And I'm a good chef, and I don't deserve to have marinara sauce all over me! Y'know what, if you want me to quit this bad, then all you have to do is... Monica: You do? Monica: Well if you want a problem? I'll give you a problem! ",-2.0,-2.0,3.0,1.0,-1.0
Chandler Bing,"Chandler Bing: Oh good, I was hoping that would come up. ",-1.0,-2.0,1.0,0.0,0.0
Joey Tribbiani,"Joey Tribbiani: No, I'm alright man. Really. Joey Tribbiani: Hey no, seriously, I don't need you to pick me... [Fun Bobby picks Joey up off the ground, bounces him. Joey laughs.] Alright! It still works. ",2.0,1.0,3.0,1.0,1.0
Ross Geller,"Ross Geller: Helen Geller? I don't think so. Ross Geller: Thank you! Ross Geller: What, it's gonna be Helen Willick? Ross Geller: Well, wait a minute, wha- why is she in the title? Ross Geller: Oh, 's'funny, really? Um, I don't remember you making any sperm. Ross Geller: No no no, she gets a credit, hey, I'm in there too. Ross Geller: Of course not, I'm... suggesting Geller-Willick-Bunch. Ross Geller: My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do- ",2.0,1.0,1.0,-1.0,-1.0
Monica,Monica: (lying on the couch suffering from her cold) Ross isn't here. Monica: What? Monica: Why? Monica: Thank you so much Phoebe. Monica: What are you doing with those?! ,0.0,1.0,-1.0,0.0,0.0
Phoebe Buffay,"Phoebe Buffay: Really? Phoebe Buffay: Oh! Oh my god. This is so exciting. How much am I gonna get? Phoebe Buffay: Well you said that he's paying the people who are playing. Phoebe Buffay: Well, I'm not gonna be the only one who's not getting paid. Phoebe Buffay: No, huh uh, I'm sorry, no. No, I'm not some like sloppy second, charity band. You know what, there are thousands of places in this city where people would be happy to pay to hear me play. (Out on the sidewalk, singing) When I play, I play for me, I don't need your charity. (Someone puts a coin in her guitar case) Thank you! La la la la la la la.... ",-1.0,0.0,3.0,2.0,-3.0
Steve,"Steve: Hello, Monica. (to Rachel) Hello, greeter girl. Steve: (unconcerned) Yeah, OK. Steve: It's a lovely apartment. Steve: I was just being polite, but, alright. ",3.0,2.0,1.0,1.0,3.0
Chandler,"Chandler: Listen, in the middle of everything if I scream the word, ""Yippee!"" just ignore me. Chandler: Oh, hello Rachel. Chandler: (to Monica) Your sister Joan is crazy. Chandler: Yes, we do. But, we have to change first. Chandler: Yeah, we'll be down in like five minutes. Chandler: Oh, yay... ",-1.0,0.0,1.0,2.0,2.0
Phoebe Buffay,"Phoebe Buffay: Ok, so I guess we don't invite her parents. ",1.0,3.0,2.0,2.0,0.0
Joey Tribbiani,"Joey Tribbiani: Hey, whaddya wanna do for dinner? Joey Tribbiani: Ah, the stalker. Joey Tribbiani: Let's get out of here. [They run out and knock on Monica and Rachel's door] Joey Tribbiani: OK, we'll just leave, and when we pass her on the stairs, she won't know it's me 'cause we've never met. Joey Tribbiani: She's comin'. [Both run back in their apartment. There's a knock at the door.] ",3.0,2.0,2.0,2.0,1.0
Rachel Green,"Rachel Green: Oh my god. Oh my god. (She decides to make a break for it.) Excuse me. Move! Move! Emergency! Excuse me! (She tries climbing over a bench and falls down.) Rachel Green: Oh, there you are! Hi! Oh, so, so, how was China, you? (Hits him with the flowers.) Rachel Green: What? ",2.0,2.0,3.0,2.0,0.0
Chandler,"Chandler: I did! I absolutely did! Chandler: I'm sure you're right, but why? Chandler: Oh, man. I'm sorry, I'm so-so sorry. Chandler: I know! I know! Chandler: Well, y'know, you're-you're gonna meet somebody! You're a great catch! Y'know when I was telling all those guys about you, I didn't have to lie once. (He sits down on the arm of her chair) Chandler: Yeah! You graduated Magma Ku Laude, right? Chandler: Oh, it doesn't matter. (Kisses her on the top of her head.) Hey, y'know what, I've got two tickets to tonight's Rangers game, you wanna come with me? ",2.0,0.0,2.0,1.0,0.0
